縣市,鄉鎮,名字,description,描述,營地數量,營地價錢
苗栗縣,卓蘭鎮 , 小白屋親子農園,https://evshhips.pixnet.net/blog/post/351101590,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,後龍鎮 , 台灣水牛城/露營,https://evshhips.pixnet.net/blog/post/351346921,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 ,東和景觀露營區,https://evshhips.pixnet.net/blog/post/351382945,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 ,馬菈棒景觀露營區(2),https://evshhips.pixnet.net/blog/post/351682177,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,泰安鄉 , 楓櫻秘境景觀露營區,https://evshhips.pixnet.net/blog/post/351769564,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,南庄鄉 , 星星杉丘親子露營區2,https://evshhips.pixnet.net/blog/post/352046020,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 , 一遊味境親子露營區,https://evshhips.pixnet.net/blog/post/351592711,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,卓蘭鎮 ,1961的星空親子露營區,https://evshhips.pixnet.net/blog/post/352046257,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
新竹市,香山區 ,新竹縣風莊園親子露營區(2),https://evshhips.pixnet.net/blog/post/351919105,    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
新竹縣,香山區 ,新竹縣風莊園親子露營區(1),https://evshhips.pixnet.net/blog/post/349868932,    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
臺中市,和平區 ,吉娃斯咖啡莊園親子露營,https://evshhips.pixnet.net/blog/post/352565923,       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,南庄鄉 ,杉美親子森林露營區,https://evshhips.pixnet.net/blog/post/352605718,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,泰安鄉 ,逢雲景觀露營區,https://evshhips.pixnet.net/blog/post/352669324,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
新竹縣,五峰鄉 , 福心園咖啡親子農場/露營,https://evshhips.pixnet.net/blog/post/352523416,     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,卓蘭鎮 ,森日快樂六星級親子露營區,https://evshhips.pixnet.net/blog/post/352735382,     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,國姓鄉,香草叢林千甲農莊,http://evshhips.pixnet.net/blog/post/312254007 ,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,武界,開心茶園露營區(2),http://evshhips.pixnet.net/blog/post/312007443 ,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,竹山鎮,牛姆坪露營區,http://evshhips.pixnet.net/blog/post/310492554,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,國姓鄉,水秀農場露營區,http://evshhips.pixnet.net/blog/post/309056568,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
臺中市,和平區,松風谷露營區,http://evshhips.pixnet.net/blog/post/308424519,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,仁愛鄉,曲冰青嵐露營區,http://evshhips.pixnet.net/blog/post/302961357,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,仁愛鄉,麒帆如露營區,http://evshhips.pixnet.net/blog/post/302785188,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,中寮鄉,二崁頂露營區,http://evshhips.pixnet.net/blog/post/301594226,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,仁愛鄉,馬赫坡森林民宿露營區,http://evshhips.pixnet.net/blog/post/300635831 ,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,埔里鎮,二甲Lohas農庄露營區,http://evshhips.pixnet.net/blog/post/299675168,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,國姓鄉,北山露營農場,http://evshhips.pixnet.net/blog/post/296818732,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,鹿谷鄉,永恆星空露營區,http://evshhips.pixnet.net/blog/post/294467794,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,鹿谷鄉,和興露營區,http://evshhips.pixnet.net/blog/post/291640252,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,仁愛鄉,合歡仙境露營區,http://evshhips.pixnet.net/blog/post/290746855,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
南投縣,埔里鎮,外寓露營區,http://evshhips.pixnet.net/blog/post/289864066,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,信義鄉,阿里曼山莊,http://evshhips.pixnet.net/blog/post/285937759,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,竹山鎮,竹內露營區(1),http://evshhips.pixnet.net/blog/post/276281845,                  有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,和平區 ,蕗卡營地,http://evshhips.pixnet.net/blog/post/272384050,                      有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,拂水山莊露營區,http://evshhips.pixnet.net/blog/post/271132696,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,新社區,趣露營,http://evshhips.pixnet.net/blog/post/295890790,                         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,草屯鎮,黃金綠葉庭園餐廳露營區,http://evshhips.pixnet.net/blog/post/283834609,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
彰化縣,芬園鄉,醒客咖啡露營區,http://evshhips.pixnet.net/blog/post/287341723,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,七里山瑭民宿露營區,http://evshhips.pixnet.net/blog/post/261199027,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,草屯鎮,山上的茶樹露營區,http://evshhips.pixnet.net/blog/post/257525383,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,虎嘯山莊露營區,http://evshhips.pixnet.net/blog/post/253520554,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,武界,靼靶嶺森林露營區(1),http://evshhips.pixnet.net/blog/post/248198653,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
彰化縣,溪湖鎮,沐卉親子農場露營區,http://evshhips.pixnet.net/blog/post/243715597,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,鹿谷鄉,竹亭咖啡露營區,http://evshhips.pixnet.net/blog/post/239852818,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,魚池鄉,頭社水庫露營區(1),http://evshhips.pixnet.net/blog/post/284875198,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,武界,開心茶園露營區(1),http://evshhips.pixnet.net/blog/post/244396444,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,信義鄉,源頭溫泉民宿露營區,http://evshhips.pixnet.net/blog/post/283121017,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,聽瀑露營區,http://evshhips.pixnet.net/blog/post/282966160,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,信義鄉,都構密思民宿露營區,http://evshhips.pixnet.net/blog/post/246719311,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,竹山鎮,空中邊境露營區,http://evshhips.pixnet.net/blog/post/274139782,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,武界,靼靶嶺森林露營區(2),http://evshhips.pixnet.net/blog/post/313739421,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區,熊爸營地,http://evshhips.pixnet.net/blog/post/314645025,                       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,魚池鄉,日月潭夢想親子露營區,http://evshhips.pixnet.net/blog/post/316916817,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區,松畫居露營.會館,http://evshhips.pixnet.net/blog/post/320486646,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,仁愛鄉,伴天聊營地,http://evshhips.pixnet.net/blog/post/320732979,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,中寮鄉,森呼吸營地,http://evshhips.pixnet.net/blog/post/321917394,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,國姓鄉,沙八渡假村露營區,http://evshhips.pixnet.net/blog/post/324225486,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮,哈里露露營地,http://evshhips.pixnet.net/blog/post/325145100,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,中寮鄉,心花露FUN親子露營區,http://evshhips.pixnet.net/blog/post/327784920,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮, 玫花露,http://evshhips.pixnet.net/blog/post/327723345,                        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮, 樂活森林露營區,http://evshhips.pixnet.net/blog/post/328404951,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區, 春露茶園露營區,http://evshhips.pixnet.net/blog/post/328975044,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,仁愛鄉, 原夢露營區,http://evshhips.pixnet.net/blog/post/329454603,                    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮, 中坑瀑布露營區,http://evshhips.pixnet.net/blog/post/329569188,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,仁愛鄉,武界觀景露營區,http://evshhips.pixnet.net/blog/post/329933712,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,信義鄉, 那卡斯營地,http://evshhips.pixnet.net/blog/post/328408887,                    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,后里區, 悠遊親子露營區,http://evshhips.pixnet.net/blog/post/334009224,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,中寮鄉,賞星月慕親子露營區,http://evshhips.pixnet.net/blog/post/333517806,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,后里區, 星月大地親子露營區,http://evshhips.pixnet.net/blog/post/334658420,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,草屯鎮, 三乘山親子露營區(1),http://evshhips.pixnet.net/blog/post/336106616,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮,滴水露營山莊,http://evshhips.pixnet.net/blog/post/336388799,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,國姓鄉,連興景觀露營區,http://evshhips.pixnet.net/blog/post/335713430,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,中寮鄉,雲峯景觀莊園營地,http://evshhips.pixnet.net/blog/post/336128681,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,埔里鎮, 廣成宋爸露營區,http://evshhips.pixnet.net/blog/post/334353345,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區, 高地景觀露營區,http://evshhips.pixnet.net/blog/post/337974086,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,國姓鄉,山水園親子露營區(1),http://evshhips.pixnet.net/blog/post/338913074,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,國姓鄉,港寮枝179營地,http://evshhips.pixnet.net/blog/post/337645016,                  有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,魚池鄉, 唯樂親子露營區,http://evshhips.pixnet.net/blog/post/338915762,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,廬山, 仙境溫泉露營區,http://evshhips.pixnet.net/blog/post/339179663,                  有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,鹿谷鄉, 露.山曉露營區,http://evshhips.pixnet.net/blog/post/339734165,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區, 打獵季節親子露營地,http://evshhips.pixnet.net/blog/post/340310661,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,中寮鄉, 冒險家森林露營地,http://evshhips.pixnet.net/blog/post/340361583,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,后里區,一境頭親子露營地(1),http://evshhips.pixnet.net/blog/post/340564797,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,新社區,山居歲月親子露營地,http://evshhips.pixnet.net/blog/post/341670210,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
南投縣,竹山鎮, 哈比親子景觀露營地,http://evshhips.pixnet.net/blog/post/341768937,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,6,500
臺中市,和平區, 覓靜景觀親子莊園,http://evshhips.pixnet.net/blog/post/341785260,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,魚池鄉, 山福情森親子露營地,http://evshhips.pixnet.net/blog/post/341029566,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,新社區, MoM0佳園親子露營樂,http://evshhips.pixnet.net/blog/post/342415582,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,溪頭,麻吉景觀露營地,http://evshhips.pixnet.net/blog/post/341668977,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,國姓鄉, 漾嵐山莊親子露營地,http://evshhips.pixnet.net/blog/post/342286512,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,森林峰味親子露營地,http://evshhips.pixnet.net/blog/post/343413106,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉,清境 蘇格蘭高地露營區,http://evshhips.pixnet.net/blog/post/343521244,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉清境, 諾亞方舟景觀露營地,http://evshhips.pixnet.net/blog/post/343523362,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,新社區,四分之三景觀露營地,http://evshhips.pixnet.net/blog/post/343717382,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,魚池鄉, 幸福城堡親子露營地,http://evshhips.pixnet.net/blog/post/343758429,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,鹿谷鄉 ,宏億景觀茶園露營地,http://evshhips.pixnet.net/blog/post/343364827,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉, 畫眉園親子露營區,http://evshhips.pixnet.net/blog/post/344265676,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,國姓鄉 , 浚晟景觀茶園露營地,http://evshhips.pixnet.net/blog/post/344600380,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,后里區 , 水映親子露營地,http://evshhips.pixnet.net/blog/post/344865448,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
彰化縣,芬園鄉 , 一星伴親子露營地,http://evshhips.pixnet.net/blog/post/344950570,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,竹山鎮,大鞍幸福露營農場,http://evshhips.pixnet.net/blog/post/345344737,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,埔里鎮,青青親子露營農場,http://evshhips.pixnet.net/blog/post/345493906,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉,蘋果園景觀露營區,http://evshhips.pixnet.net/blog/post/345748273,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉,士官長溫泉露營區,http://evshhips.pixnet.net/blog/post/345957958,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,東勢鄉,大雪山觀山嶺露營地,http://evshhips.pixnet.net/blog/post/346098871,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,新社區, 天山秘境森林露營區,http://evshhips.pixnet.net/blog/post/346253077,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,仁愛鄉 ,武界台興茶園營地,http://evshhips.pixnet.net/blog/post/346283461,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,竹山鎮 ,右下四角村親子露營地,http://evshhips.pixnet.net/blog/post/346449442,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
南投縣,魚池鄉 , 涵香小屋親子露營驛站,http://evshhips.pixnet.net/blog/post/346888291,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
臺中市,后里區 ,田園樂親子露營區,http://evshhips.pixnet.net/blog/post/346984219,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
